City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
202,Kuruman,ZA,2020-04-04 8:02,-27.46,23.43,93,12,0,1.01,clear sky,0,0
203,Akranes,IS,2020-04-04 8:02,64.32,-22.07,37.4,100,90,16.11,light intensity drizzle,0,0
204,Husavik,CA,2020-04-04 8:02,50.56,-96.99,26.01,97,83,5.01,broken clouds,0,0
205,Palmer,AU,2020-04-04 8:02,-34.85,139.16,62.01,55,40,10.29,scattered clouds,0,0
206,Kruisfontein,ZA,2020-04-04 8:02,-34,24.73,70.99,42,0,10.09,clear sky,0,0
207,Clovis,US,2020-04-04 8:02,36.83,-119.7,59,16,1,3.36,clear sky,0,0
208,Ponta Delgada,PT,2020-04-04 8:02,37.73,-25.67,64.4,82,40,2.24,scattered clouds,0,0
209,San Cristobal,HN,2020-04-04 8:02,14.68,-86.92,63.32,98,80,3.04,broken clouds,0,0
210,Hatillo,PR,2020-04-04 8:02,18.49,-66.83,73.99,88,1,3.36,clear sky,0,0
211,Tondano,ID,2020-04-04 8:02,1.3,124.91,86,70,40,2.24,scattered clouds,0,0
212,Madisonville,US,2020-04-04 8:02,37.33,-87.5,41,80,1,6.98,clear sky,0,0
213,San Juan,AR,2020-04-04 8:02,-31.54,-68.53,65.7,58,0,6.46,clear sky,0,0
214,Tiarei,PF,2020-04-04 8:02,-17.53,-149.33,78.8,83,75,3.36,light rain,0,0
215,Cockburn Town,TC,2020-04-04 8:02,21.46,-71.14,81.01,72,0,12.01,light rain,0.31,0
216,Zemio,CF,2020-04-04 8:02,5.02,25.13,81.73,76,13,4.7,light rain,2.69,0
217,Canico,PT,2020-04-04 8:02,32.63,-16.85,69.8,72,40,3.36,scattered clouds,0,0
218,Mongu,ZM,2020-04-04 8:02,-15.27,23.14,98.33,16,58,10.69,broken clouds,0,0
219,Carmen,PH,2020-04-04 8:02,7.36,125.71,87.8,66,75,6.93,broken clouds,0,0
220,Marzuq,YE,2020-04-04 8:02,14.4,46.47,85.62,21,17,13.13,few clouds,0,0
221,Arti,RU,2020-04-04 8:02,56.43,58.53,28.27,78,100,14.97,overcast clouds,0,0
222,Vila Praia De Ancora,PT,2020-04-04 8:02,41.81,-8.85,63,87,75,6.93,broken clouds,0,0
223,Kirkuk,IQ,2020-04-04 8:02,35.47,44.4,73.45,24,0,6.8,clear sky,0,0
224,Ucluelet,CA,2020-04-04 8:02,48.94,-125.55,48,93,21,2.19,few clouds,0,0
225,Tocopilla,CL,2020-04-04 8:02,-22.09,-70.2,50.27,32,0,3.33,clear sky,0,0
226,Cancun,MX,2020-04-04 8:02,21.17,-86.85,78.8,100,40,2.24,scattered clouds,0,0
227,Mahebourg,MU,2020-04-04 8:02,-20.41,57.7,80.6,69,40,18.34,scattered clouds,0,0
228,Upata,VE,2020-04-04 8:02,8.02,-62.41,77,90,24,1.99,few clouds,0,0
229,Karwar,IN,2020-04-04 8:02,14.8,74.13,83.08,73,0,9.15,clear sky,0,0
230,Saint George,GR,2020-04-04 8:02,39.45,22.34,71.6,68,40,8.05,scattered clouds,0,0
231,Codrington,AU,2020-04-04 8:02,-28.95,153.24,93.2,45,40,8.05,scattered clouds,0,0
232,Muskogee,US,2020-04-04 8:02,35.75,-95.37,50,75,1,5.82,clear sky,0,0
233,Na Wa,TH,2020-04-04 8:02,17.49,104.1,86,51,75,6.93,broken clouds,0,0
